business_date,line_name,day_of_week,day_type,financial_year,total_boardings
2018-10-06,Alamein,Saturday,Saturday,2018-19,1690
2018-10-07,Alamein,Sunday,Sunday,2018-19,860
2018-10-08,Alamein,Monday,Normal Weekday,2018-19,21940
2018-10-09,Alamein,Tuesday,Normal Weekday,2018-19,22940
2018-10-10,Alamein,Wednesday,Normal Weekday,2018-19,23240
2018-10-11,Alamein,Thursday,Normal Weekday,2018-19,23150
2018-10-12,Alamein,Friday,Normal Weekday,2018-19,23270
2018-10-13,Alamein,Saturday,Saturday,2018-19,1920
2018-10-14,Alamein,Sunday,Sunday,2018-19,1510
2018-10-15,Alamein,Monday,Normal Weekday,2018-19,21740
2018-10-16,Alamein,Tuesday,Normal Weekday,2018-19,23490
2018-10-17,Alamein,Wednesday,Normal Weekday,2018-19,23360
2018-10-18,Alamein,Thursday,Normal Weekday,2018-19,22930
2018-10-19,Alamein,Friday,Normal Weekday,2018-19,23500
2018-10-20,Alamein,Saturday,Saturday,2018-19,1430
2018-10-21,Alamein,Sunday,Sunday,2018-19,1380
2018-10-22,Alamein,Monday,Normal Weekday,2018-19,21400
2018-10-23,Alamein,Tuesday,Normal Weekday,2018-19,22760
2018-10-24,Alamein,Wednesday,Normal Weekday,2018-19,22190
2018-10-25,Alamein,Thursday,Normal Weekday,2018-19,21150
2018-10-26,Alamein,Friday,Normal Weekday,2018-19,21610
2018-10-27,Alamein,Saturday,Saturday,2018-19,1560
2018-10-28,Alamein,Sunday,Sunday,2018-19,1410
2018-10-29,Alamein,Monday,Normal Weekday,2018-19,20710
2018-10-30,Alamein,Tuesday,Normal Weekday,2018-19,22590
2018-10-31,Alamein,Wednesday,Normal Weekday,2018-19,21600
2018-11-01,Alamein,Thursday,Normal Weekday,2018-19,21050
2018-11-02,Alamein,Friday,Normal Weekday,2018-19,21750
2018-11-03,Alamein,Saturday,Saturday,2018-19,1320
2018-11-04,Alamein,Sunday,Sunday,2018-19,1140
2018-11-05,Alamein,Monday,Normal Weekday,2018-19,15050
2018-11-06,Alamein,Tuesday,Public Holiday,2018-19,630
2018-11-07,Alamein,Wednesday,Normal Weekday,2018-19,22080
2018-11-08,Alamein,Thursday,Normal Weekday,2018-19,22140
2018-11-09,Alamein,Friday,Normal Weekday,2018-19,22470
2018-11-10,Alamein,Saturday,Saturday,2018-19,1400
2018-11-11,Alamein,Sunday,Sunday,2018-19,1170
2018-11-12,Alamein,Monday,Normal Weekday,2018-19,22070
2018-11-13,Alamein,Tuesday,Normal Weekday,2018-19,22910
2018-11-14,Alamein,Wednesday,Normal Weekday,2018-19,21380
2018-11-15,Alamein,Thursday,Normal Weekday,2018-19,21580
2018-11-16,Alamein,Friday,Normal Weekday,2018-19,21760
2018-11-17,Alamein,Saturday,Saturday,2018-19,1580
2018-11-18,Alamein,Sunday,Sunday,2018-19,1350
2018-11-19,Alamein,Monday,Normal Weekday,2018-19,20120
2018-11-20,Alamein,Tuesday,Normal Weekday,2018-19,22370
2018-11-21,Alamein,Wednesday,Normal Weekday,2018-19,21700
2018-11-22,Alamein,Thursday,Normal Weekday,2018-19,20980
2018-11-23,Alamein,Friday,Normal Weekday,2018-19,19640
2018-11-24,Alamein,Saturday,Saturday,2018-19,1370
2018-11-25,Alamein,Sunday,Sunday,2018-19,1390
2018-11-26,Alamein,Monday,Normal Weekday,2018-19,21180
2018-11-27,Alamein,Tuesday,Normal Weekday,2018-19,22030
2018-11-28,Alamein,Wednesday,Normal Weekday,2018-19,21690
2018-11-29,Alamein,Thursday,Normal Weekday,2018-19,21650
2018-11-30,Alamein,Friday,Normal Weekday,2018-19,21180
2018-12-01,Alamein,Saturday,Saturday,2018-19,1570
2018-12-02,Alamein,Sunday,Sunday,2018-19,1370
2018-12-03,Alamein,Monday,Normal Weekday,2018-19,21100
2018-12-04,Alamein,Tuesday,Normal Weekday,2018-19,21520
2018-12-05,Alamein,Wednesday,Normal Weekday,2018-19,21720
2018-12-06,Alamein,Thursday,Normal Weekday,2018-19,21400
2018-12-07,Alamein,Friday,Normal Weekday,2018-19,21010
2018-12-08,Alamein,Saturday,Saturday,2018-19,1520
2018-12-09,Alamein,Sunday,Sunday,2018-19,1420
2018-12-10,Alamein,Monday,Normal Weekday,2018-19,21090
2018-12-11,Alamein,Tuesday,Normal Weekday,2018-19,21070
2018-12-12,Alamein,Wednesday,Normal Weekday,2018-19,21350
2018-12-13,Alamein,Thursday,Normal Weekday,2018-19,20130
2018-12-14,Alamein,Friday,Normal Weekday,2018-19,16850
2018-12-15,Alamein,Saturday,Saturday,2018-19,1050
2018-12-16,Alamein,Sunday,Sunday,2018-19,880
2018-12-17,Alamein,Monday,Normal Weekday,2018-19,19370
2018-12-18,Alamein,Tuesday,Normal Weekday,2018-19,19860
2018-12-19,Alamein,Wednesday,Normal Weekday,2018-19,19300
2018-12-20,Alamein,Thursday,Normal Weekday,2018-19,19190
2018-12-21,Alamein,Friday,Normal Weekday,2018-19,17980
2018-12-22,Alamein,Saturday,Saturday,2018-19,1680
2018-12-23,Alamein,Sunday,Sunday,2018-19,1560
2018-12-24,Alamein,Monday,School Holiday,2018-19,6200
2018-12-25,Alamein,Tuesday,Public Holiday,2018-19,150
2018-12-26,Alamein,Wednesday,Public Holiday,2018-19,2010
2018-12-27,Alamein,Thursday,School Holiday,2018-19,6500
2018-12-28,Alamein,Friday,School Holiday,2018-19,6960
2018-12-29,Alamein,Saturday,Saturday,2018-19,1120
2018-12-30,Alamein,Sunday,Sunday,2018-19,1200
2018-12-31,Alamein,Monday,School Holiday,2018-19,5470
2019-01-01,Alamein,Tuesday,Public Holiday,2018-19,830
2019-01-02,Alamein,Wednesday,School Holiday,2018-19,10420
2019-01-03,Alamein,Thursday,School Holiday,2018-19,11520
2019-01-04,Alamein,Friday,School Holiday,2018-19,10010
2019-01-05,Alamein,Saturday,Saturday,2018-19,1280
2019-01-06,Alamein,Sunday,Sunday,2018-19,1180
2019-01-07,Alamein,Monday,School Holiday,2018-19,18100
2019-01-08,Alamein,Tuesday,School Holiday,2018-19,19210
2019-01-09,Alamein,Wednesday,School Holiday,2018-19,19740
2019-01-10,Alamein,Thursday,School Holiday,2018-19,19900
2019-01-11,Alamein,Friday,School Holiday,2018-19,17730
2019-01-12,Alamein,Saturday,Saturday,2018-19,990
2019-01-13,Alamein,Sunday,Sunday,2018-19,480
2019-01-14,Alamein,Monday,School Holiday,2018-19,18410
2019-01-15,Alamein,Tuesday,School Holiday,2018-19,18310
2019-01-16,Alamein,Wednesday,School Holiday,2018-19,19430
2019-01-17,Alamein,Thursday,School Holiday,2018-19,19000
2019-01-18,Alamein,Friday,School Holiday,2018-19,19640
2019-01-19,Alamein,Saturday,Saturday,2018-19,1880
2019-01-20,Alamein,Sunday,Sunday,2018-19,1920
2019-01-21,Alamein,Monday,School Holiday,2018-19,18920
2019-01-22,Alamein,Tuesday,School Holiday,2018-19,17940
2019-01-23,Alamein,Wednesday,School Holiday,2018-19,19480
2019-01-24,Alamein,Thursday,School Holiday,2018-19,18920
2019-01-25,Alamein,Friday,School Holiday,2018-19,15120
2019-01-26,Alamein,Saturday,Saturday,2018-19,1460
2019-01-27,Alamein,Sunday,Sunday,2018-19,1340
2019-01-28,Alamein,Monday,Public Holiday,2018-19,800
2019-01-29,Alamein,Tuesday,School Holiday,2018-19,19530
2019-01-30,Alamein,Wednesday,Normal Weekday,2018-19,20340
2019-01-31,Alamein,Thursday,Normal Weekday,2018-19,20760
2019-02-01,Alamein,Friday,Normal Weekday,2018-19,21780
2019-02-02,Alamein,Saturday,Saturday,2018-19,1480
2019-02-03,Alamein,Sunday,Sunday,2018-19,1010
2019-02-04,Alamein,Monday,Normal Weekday,2018-19,22010
2019-02-05,Alamein,Tuesday,Normal Weekday,2018-19,21340
2019-02-06,Alamein,Wednesday,Normal Weekday,2018-19,22420
2019-02-07,Alamein,Thursday,Normal Weekday,2018-19,22160
2019-02-08,Alamein,Friday,Normal Weekday,2018-19,21800
2019-02-09,Alamein,Saturday,Saturday,2018-19,1690
2019-02-10,Alamein,Sunday,Sunday,2018-19,2530
2019-02-11,Alamein,Monday,Normal Weekday,2018-19,22630
2019-02-12,Alamein,Tuesday,Normal Weekday,2018-19,22090
2019-02-13,Alamein,Wednesday,Normal Weekday,2018-19,22440
2019-02-14,Alamein,Thursday,Normal Weekday,2018-19,23410
2019-02-15,Alamein,Friday,Normal Weekday,2018-19,22300
2019-02-16,Alamein,Saturday,Saturday,2018-19,1630
2019-02-17,Alamein,Sunday,Sunday,2018-19,1470
2019-02-18,Alamein,Monday,Normal Weekday,2018-19,21820
2019-02-19,Alamein,Tuesday,Normal Weekday,2018-19,23680
2019-02-20,Alamein,Wednesday,Normal Weekday,2018-19,22560
2019-02-21,Alamein,Thursday,Normal Weekday,2018-19,22470
2019-02-22,Alamein,Friday,Normal Weekday,2018-19,23640
2019-02-23,Alamein,Saturday,Saturday,2018-19,1830
2019-02-24,Alamein,Sunday,Sunday,2018-19,1680
2019-02-25,Alamein,Monday,Normal Weekday,2018-19,24260
2019-02-26,Alamein,Tuesday,Normal Weekday,2018-19,22410
2019-02-27,Alamein,Wednesday,Normal Weekday,2018-19,24150
2019-02-28,Alamein,Thursday,Normal Weekday,2018-19,22820
2019-03-01,Alamein,Friday,Normal Weekday,2018-19,21980
2019-03-02,Alamein,Saturday,Saturday,2018-19,890
2019-03-03,Alamein,Sunday,Sunday,2018-19,600
2019-03-04,Alamein,Monday,Normal Weekday,2018-19,25740
2019-03-05,Alamein,Tuesday,Normal Weekday,2018-19,27040
2019-03-06,Alamein,Wednesday,Normal Weekday,2018-19,26400
2019-03-07,Alamein,Thursday,Normal Weekday,2018-19,25260
2019-03-08,Alamein,Friday,Normal Weekday,2018-19,1820
2019-03-09,Alamein,Saturday,Saturday,2018-19,440
2019-03-10,Alamein,Sunday,Sunday,2018-19,310
2019-03-11,Alamein,Monday,Public Holiday,2018-19,290
2019-03-12,Alamein,Tuesday,Normal Weekday,2018-19,26490
2019-03-13,Alamein,Wednesday,Normal Weekday,2018-19,24270
2019-03-14,Alamein,Thursday,Normal Weekday,2018-19,25600
2019-03-15,Alamein,Friday,Normal Weekday,2018-19,25640
2019-03-16,Alamein,Saturday,Saturday,2018-19,1860
2019-03-17,Alamein,Sunday,Sunday,2018-19,1160
2019-03-18,Alamein,Monday,Normal Weekday,2018-19,24450
2019-03-19,Alamein,Tuesday,Normal Weekday,2018-19,26500
2019-03-20,Alamein,Wednesday,Normal Weekday,2018-19,26530
2019-03-21,Alamein,Thursday,Normal Weekday,2018-19,25800
2019-03-22,Alamein,Friday,Normal Weekday,2018-19,25030
2019-03-23,Alamein,Saturday,Saturday,2018-19,3010
2019-03-24,Alamein,Sunday,Sunday,2018-19,1370
2019-03-25,Alamein,Monday,Normal Weekday,2018-19,24470
2019-03-26,Alamein,Tuesday,Normal Weekday,2018-19,24870
2019-03-27,Alamein,Wednesday,Normal Weekday,2018-19,25480
2019-03-28,Alamein,Thursday,Normal Weekday,2018-19,27830
2019-03-29,Alamein,Friday,Normal Weekday,2018-19,23540
2019-03-30,Alamein,Saturday,Saturday,2018-19,1470
2019-03-31,Alamein,Sunday,Sunday,2018-19,1520
2019-04-01,Alamein,Monday,Normal Weekday,2018-19,23670
2019-04-02,Alamein,Tuesday,Normal Weekday,2018-19,25100
2019-04-03,Alamein,Wednesday,Normal Weekday,2018-19,24870
2019-04-04,Alamein,Thursday,Normal Weekday,2018-19,24260
2019-04-05,Alamein,Friday,Normal Weekday,2018-19,25610
2019-04-06,Alamein,Saturday,Saturday,2018-19,1980
2019-04-07,Alamein,Sunday,Sunday,2018-19,1360
2019-04-08,Alamein,Monday,School Holiday,2018-19,25340
2019-04-09,Alamein,Tuesday,School Holiday,2018-19,26090
2019-04-10,Alamein,Wednesday,School Holiday,2018-19,25580
2019-04-11,Alamein,Thursday,School Holiday,2018-19,25390
2019-04-12,Alamein,Friday,School Holiday,2018-19,28970
2019-04-13,Alamein,Saturday,Saturday,2018-19,3410
2019-04-14,Alamein,Sunday,Sunday,2018-19,2230
2019-04-15,Alamein,Monday,School Holiday,2018-19,24090
2019-04-16,Alamein,Tuesday,School Holiday,2018-19,24930
2019-04-17,Alamein,Wednesday,School Holiday,2018-19,24160
2019-04-18,Alamein,Thursday,School Holiday,2018-19,21450
2019-04-19,Alamein,Friday,Public Holiday,2018-19,1000
2019-04-20,Alamein,Saturday,Public Holiday,2018-19,1720
2019-04-21,Alamein,Sunday,Public Holiday,2018-19,910
2019-04-22,Alamein,Monday,Public Holiday,2018-19,1160
2019-04-23,Alamein,Tuesday,Normal Weekday,2018-19,18870
2019-04-24,Alamein,Wednesday,Normal Weekday,2018-19,19830
2019-04-25,Alamein,Thursday,Public Holiday,2018-19,1610
2019-04-26,Alamein,Friday,Normal Weekday,2018-19,17320
2019-04-27,Alamein,Saturday,Saturday,2018-19,1300
2019-04-28,Alamein,Sunday,Sunday,2018-19,890
2019-04-29,Alamein,Monday,Normal Weekday,2018-19,24000
2019-04-30,Alamein,Tuesday,Normal Weekday,2018-19,23540
2019-05-01,Alamein,Wednesday,Normal Weekday,2018-19,24300
2019-05-02,Alamein,Thursday,Normal Weekday,2018-19,25090
2019-05-03,Alamein,Friday,Normal Weekday,2018-19,24400
2019-05-04,Alamein,Saturday,Saturday,2018-19,1730
2019-05-05,Alamein,Sunday,Sunday,2018-19,1480
2019-05-06,Alamein,Monday,Normal Weekday,2018-19,22400
2019-05-07,Alamein,Tuesday,Normal Weekday,2018-19,26580
2019-05-08,Alamein,Wednesday,Normal Weekday,2018-19,25110
2019-05-09,Alamein,Thursday,Normal Weekday,2018-19,23940
2019-05-10,Alamein,Friday,Normal Weekday,2018-19,23760
2019-05-11,Alamein,Saturday,Saturday,2018-19,2110
2019-05-12,Alamein,Sunday,Sunday,2018-19,580
2019-05-13,Alamein,Monday,Normal Weekday,2018-19,22710
2019-05-14,Alamein,Tuesday,Normal Weekday,2018-19,24100
2019-05-15,Alamein,Wednesday,Normal Weekday,2018-19,25190
2019-05-16,Alamein,Thursday,Normal Weekday,2018-19,24490
2019-05-17,Alamein,Friday,Normal Weekday,2018-19,23390
2019-05-18,Alamein,Saturday,Saturday,2018-19,1570
2019-05-19,Alamein,Sunday,Sunday,2018-19,1380
2019-05-20,Alamein,Monday,Normal Weekday,2018-19,24580
2019-05-21,Alamein,Tuesday,Normal Weekday,2018-19,24670
2019-05-22,Alamein,Wednesday,Normal Weekday,2018-19,24940
2019-05-23,Alamein,Thursday,Normal Weekday,2018-19,24810
2019-05-24,Alamein,Friday,Normal Weekday,2018-19,23800
2019-05-25,Alamein,Saturday,Saturday,2018-19,1920
2019-05-26,Alamein,Sunday,Sunday,2018-19,1250
2019-05-27,Alamein,Monday,Normal Weekday,2018-19,21780
2019-05-28,Alamein,Tuesday,Normal Weekday,2018-19,22870
2019-05-29,Alamein,Wednesday,Normal Weekday,2018-19,22070
2019-05-30,Alamein,Thursday,Normal Weekday,2018-19,21180
2019-05-31,Alamein,Friday,Normal Weekday,2018-19,22460
2019-06-01,Alamein,Saturday,Saturday,2018-19,1540
2019-06-02,Alamein,Sunday,Sunday,2018-19,1190
2019-06-03,Alamein,Monday,Normal Weekday,2018-19,20510
2019-06-04,Alamein,Tuesday,Normal Weekday,2018-19,20440
2019-06-05,Alamein,Wednesday,Normal Weekday,2018-19,21300
2019-06-06,Alamein,Thursday,Normal Weekday,2018-19,21040
2019-06-07,Alamein,Friday,Normal Weekday,2018-19,21890
2019-06-08,Alamein,Saturday,Saturday,2018-19,1070
2019-06-09,Alamein,Sunday,Sunday,2018-19,750
2019-06-10,Alamein,Monday,Public Holiday,2018-19,830
2019-06-11,Alamein,Tuesday,Normal Weekday,2018-19,20300
2019-06-12,Alamein,Wednesday,Normal Weekday,2018-19,21680
2019-06-13,Alamein,Thursday,Normal Weekday,2018-19,22610
2019-06-14,Alamein,Friday,Normal Weekday,2018-19,21340
2019-06-15,Alamein,Saturday,Saturday,2018-19,1530
2019-06-16,Alamein,Sunday,Sunday,2018-19,1170
2019-06-17,Alamein,Monday,Normal Weekday,2018-19,21470
2019-06-18,Alamein,Tuesday,Normal Weekday,2018-19,21960
2019-06-19,Alamein,Wednesday,Normal Weekday,2018-19,21260
2019-06-20,Alamein,Thursday,Normal Weekday,2018-19,20980
2019-06-21,Alamein,Friday,Normal Weekday,2018-19,21430
2019-06-22,Alamein,Saturday,Saturday,2018-19,1530
2019-06-23,Alamein,Sunday,Sunday,2018-19,1250
2019-06-24,Alamein,Monday,Normal Weekday,2018-19,21200
2019-06-25,Alamein,Tuesday,Normal Weekday,2018-19,21510
2019-06-26,Alamein,Wednesday,Normal Weekday,2018-19,21070
2019-06-27,Alamein,Thursday,Normal Weekday,2018-19,21400
2019-06-28,Alamein,Friday,Normal Weekday,2018-19,20270
2019-06-29,Alamein,Saturday,Saturday,2018-19,1370
2019-06-30,Alamein,Sunday,Sunday,2018-19,1250
2019-07-01,Alamein,Monday,School Holiday,2019-20,19210
2019-07-02,Alamein,Tuesday,School Holiday,2019-20,19350
2019-07-03,Alamein,Wednesday,School Holiday,2019-20,19140
2019-07-04,Alamein,Thursday,School Holiday,2019-20,19610
2019-07-05,Alamein,Friday,School Holiday,2019-20,20490
2019-07-06,Alamein,Saturday,Saturday,2019-20,2180
2019-07-07,Alamein,Sunday,Sunday,2019-20,1490
2019-07-08,Alamein,Monday,School Holiday,2019-20,20620
2019-07-09,Alamein,Tuesday,School Holiday,2019-20,21200
2019-07-10,Alamein,Wednesday,School Holiday,2019-20,21890
2019-07-11,Alamein,Thursday,School Holiday,2019-20,20300
2019-07-12,Alamein,Friday,School Holiday,2019-20,20440
2019-07-13,Alamein,Saturday,Saturday,2019-20,1350
2019-07-14,Alamein,Sunday,Sunday,2019-20,1120
2019-07-15,Alamein,Monday,Normal Weekday,2019-20,20040
2019-07-16,Alamein,Tuesday,Normal Weekday,2019-20,20910
2019-07-17,Alamein,Wednesday,Normal Weekday,2019-20,21650
2019-07-18,Alamein,Thursday,Normal Weekday,2019-20,21820
2019-07-19,Alamein,Friday,Normal Weekday,2019-20,21660
2019-07-20,Alamein,Saturday,Saturday,2019-20,1770
2019-07-21,Alamein,Sunday,Sunday,2019-20,1560
2019-07-22,Alamein,Monday,Normal Weekday,2019-20,19950
2019-07-23,Alamein,Tuesday,Normal Weekday,2019-20,22190
2019-07-24,Alamein,Wednesday,Normal Weekday,2019-20,22070
2019-07-25,Alamein,Thursday,Normal Weekday,2019-20,20980
2019-07-26,Alamein,Friday,Normal Weekday,2019-20,22560
2019-07-27,Alamein,Saturday,Saturday,2019-20,1920
2019-07-28,Alamein,Sunday,Sunday,2019-20,1670
2019-07-29,Alamein,Monday,Normal Weekday,2019-20,22030
2019-07-30,Alamein,Tuesday,Normal Weekday,2019-20,23060
2019-07-31,Alamein,Wednesday,Normal Weekday,2019-20,21160
2019-08-01,Alamein,Thursday,Normal Weekday,2019-20,22550
2019-08-02,Alamein,Friday,Normal Weekday,2019-20,21150
2019-08-03,Alamein,Saturday,Saturday,2019-20,1810
2019-08-04,Alamein,Sunday,Sunday,2019-20,1510
2019-08-05,Alamein,Monday,Normal Weekday,2019-20,22700
2019-08-06,Alamein,Tuesday,Normal Weekday,2019-20,25780
2019-08-07,Alamein,Wednesday,Normal Weekday,2019-20,24940
2019-08-08,Alamein,Thursday,Normal Weekday,2019-20,24120
2019-08-09,Alamein,Friday,Normal Weekday,2019-20,21870
2019-08-10,Alamein,Saturday,Saturday,2019-20,1220
2019-08-11,Alamein,Sunday,Sunday,2019-20,1570
2019-08-12,Alamein,Monday,Normal Weekday,2019-20,23310
2019-08-13,Alamein,Tuesday,Normal Weekday,2019-20,24150
2019-08-14,Alamein,Wednesday,Normal Weekday,2019-20,23380
2019-08-15,Alamein,Thursday,Normal Weekday,2019-20,24060
2019-08-16,Alamein,Friday,Normal Weekday,2019-20,23230
2019-08-17,Alamein,Saturday,Saturday,2019-20,2220
2019-08-18,Alamein,Sunday,Sunday,2019-20,1980
2019-08-19,Alamein,Monday,Normal Weekday,2019-20,23500
2019-08-20,Alamein,Tuesday,Normal Weekday,2019-20,25500
2019-08-21,Alamein,Wednesday,Normal Weekday,2019-20,23990
2019-08-22,Alamein,Thursday,Normal Weekday,2019-20,24810
2019-08-23,Alamein,Friday,Normal Weekday,2019-20,24810
2019-08-24,Alamein,Saturday,Saturday,2019-20,1780
2019-08-25,Alamein,Sunday,Sunday,2019-20,1720
2019-08-26,Alamein,Monday,Normal Weekday,2019-20,23040
2019-08-27,Alamein,Tuesday,Normal Weekday,2019-20,24440
2019-08-28,Alamein,Wednesday,Normal Weekday,2019-20,24160
2019-08-29,Alamein,Thursday,Normal Weekday,2019-20,24600
2019-08-30,Alamein,Friday,Normal Weekday,2019-20,23720
2019-08-31,Alamein,Saturday,Saturday,2019-20,1840
2019-09-01,Alamein,Sunday,Sunday,2019-20,820
2019-09-02,Alamein,Monday,Normal Weekday,2019-20,22970
2019-09-03,Alamein,Tuesday,Normal Weekday,2019-20,24150
2019-09-04,Alamein,Wednesday,Normal Weekday,2019-20,23560
2019-09-05,Alamein,Thursday,Normal Weekday,2019-20,23710
2019-09-06,Alamein,Friday,Normal Weekday,2019-20,24910
2019-09-07,Alamein,Saturday,Saturday,2019-20,1190
2019-09-08,Alamein,Sunday,Sunday,2019-20,700
2019-09-09,Alamein,Monday,Normal Weekday,2019-20,22030
2019-09-10,Alamein,Tuesday,Normal Weekday,2019-20,24170
2019-09-11,Alamein,Wednesday,Normal Weekday,2019-20,23720
