rank,mark,athlete,country,date_of_birth,race_position,venue,result_date,mark_seconds,result_year,decade,age_at_race
589,3:59.49+,Birke Haylom,ETH,2006-01-06,1,Oslo,2023-06-15,239.49,2023,2020,17.437371663244353
589,3:59.49,Georgia Hunter Bell,GBR,1993-10-17,2s1,Saint-Denis,2024-08-08,239.49,2024,2020,30.809034907597535
589,3:59.49,Gaia Sabbatini,ITA,1999-06-10,5,Budapest,2025-08-12,239.49,2025,2020,26.17385352498289
593,3:59.5,Tatyana Kazankina,RUS,1951-12-17,1r1,Sochi,1980-05-23,239.5,1980,1980,28.432580424366872
593,3:59.50,Lisa Dobriskey,GBR,1983-12-23,3,Zürich,2009-08-28,239.5,2009,2000,25.68104038329911
595,3:59.51,Natalia Rodríguez,ESP,1979-06-02,4,Rieti,2005-08-28,239.51,2005,2000,26.239561943874058
595,3:59.51,Rababe Arafi,MAR,1991-01-12,4,Eugene,2018-05-26,239.51,2018,2010,27.367556468172484
597,3:59.52,Nadezhda Olizarenko,UKR,1953-11-28,3,Moskva,1980-08-01,239.52,1980,1980,26.67488021902806
598,3:59.53,Svetlana Masterkova,RUS,1968-01-17,1,Sevilla,1999-08-29,239.53,1999,1990,31.613963039014372
598,3:59.53,Dawit Seyaum,ETH,1996-07-27,1,Marrakesh,2014-06-08,239.53,2014,2010,17.864476386036962
600,3:59.54,Jessica Hull,AUS,1996-10-22,7,Budapest,2023-08-22,239.54,2023,2020,26.830937713894592
601,3:59.55,Gudaf Tsegay,ETH,1997-06-23,3,Paris,2017-07-01,239.55,2017,2010,20.021902806297057
601,3:59.55,Melissa Courtney-Bryant,GBR,1993-08-30,4,Chorzów,2024-08-25,239.55,2024,2020,30.986995208761122
603,3:59.56,Gelete Burka,ETH,1986-01-23,2,Monaco,2009-07-28,239.56,2009,2000,23.509924709103355
603,3:59.56,Winnie Nanyondo,UGA,1993-08-23,6,Rabat,2019-06-16,239.56,2019,2010,25.812457221081452
605,3:59.57,Maricica Puica,ROU,1950-07-29,1,Rieti,1982-09-16,239.57,1982,1980,32.134154688569474
605,3:59.57,Gudaf Tsegay,ETH,1997-06-23,1,Nanjing,2019-05-21,239.57,2019,2010,21.908281998631075
605,3:59.57,Melissa Courtney-Bryant,GBR,1993-08-30,9,Eugene,2023-09-16,239.57,2023,2020,30.04517453798768
608,3:59.58,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Berlin,2003-08-10,239.57999999999998,2003,2000,24.92539356605065
608,3:59.58,Konstanze Klosterhalfen,GER,1997-02-18,1,Erfurt,2017-07-09,239.57999999999998,2017,2010,20.386036960985628
610,3:59.59,Christin Wurth-Thomas,USA,1980-07-11,1,Saint-Denis,2010-07-16,239.59,2010,2010,30.012320328542096
610,3:59.59,Gabriela DeBues-Stafford,CAN,1995-09-13,3,Zürich,2019-08-29,239.59,2019,2010,23.958932238193018
610,3:59.59,Sarah Billings,AUS,1998-03-07,9,Xiamen,2024-04-20,239.59,2024,2020,26.12183436002738
613,3:59.60,Sonia O'Sullivan,IRL,1969-11-28,2,Monaco,1993-08-07,239.6,1993,1990,23.690622861054074
613,3:59.60,Gelete Burka,ETH,1986-01-23,5,Rieti,2005-08-28,239.6,2005,2000,19.59479808350445
613,3:59.60,Gudaf Tsegay,ETH,1997-06-23,1rA,Madrid,2018-06-22,239.6,2018,2010,20.996577686516083
613,3:59.60,Agathe Guillemot,FRA,1999-07-11,3,Rabat,2026-05-31,239.6,2026,2020,26.888432580424368
617,3:59.61,Svetlana Karamasheva,RUS,1988-05-24,1r2,Moskva,2012-06-13,239.61,2012,2010,24.05475701574264
617,3:59.61,Elise Cranny,USA,1996-05-09,6,Bruxelles,2022-09-02,239.61,2022,2020,26.316221765913756
617,3:59.61+,Dominique Hiltz,USA,1994-10-23,8,Monaco,2023-07-21,239.61,2023,2020,28.7419575633128
617,3:59.61+,Abbey Caldwell,AUS,2001-07-03,9,Monaco,2023-07-21,239.61,2023,2020,22.04791238877481
621,3:59.62,Maricica Puica,ROU,1950-07-29,1,Bucuresti,1986-06-14,239.62,1986,1980,35.87679671457906
622,3:59.63,Emily MacKay,USA,1998-04-30,6h1,Saint-Denis,2024-08-06,239.63,2024,2020,26.269678302532512
623,3:59.64,Shelby Houlihan,USA,1993-02-08,3,Palo Alto,2019-06-30,239.64,2019,2010,26.38740588637919
623,3:59.64,Dominique Hiltz,USA,1994-10-23,5,Eugene,2024-05-25,239.64,2024,2020,29.587953456536617
625,3:59.65,Ibtissam Lakhouad,MAR,1980-12-07,3,Saint-Denis,2012-07-06,239.65,2012,2010,31.578370978781656
625,3:59.65,Katie Snowden,GBR,1994-03-09,8,Budapest,2023-08-22,239.65,2023,2020,29.453798767967147
625,3:59.65,Sarah Healy,IRL,2001-02-13,5,Chorzów,2024-08-25,239.65,2024,2020,23.529089664613277
625,3:59.65,Klaudia Kazimierska,POL,2001-09-03,11,Chorzów,2025-08-16,239.65,2025,2020,23.95071868583162
625,3:59.65,Gabriela DeBues-Stafford,CAN,1995-09-13,11,Tokyo,2025-09-16,239.65,2025,2020,30.00958247775496
630,3:59.66,Yuliya Chizhenko,RUS,1979-08-30,6,Rieti,2005-08-28,239.66,2005,2000,25.9958932238193
630,3:59.66,Natalya Yevdokimova,RUS,1978-03-17,1,Cheboksary,2009-07-26,239.66,2009,2000,31.359342915811087
632,3:59.67,Anna Bukis,POL,1953-09-08,3,Budapest,1981-07-29,239.67000000000002,1981,1980,27.887748117727583
632,3:59.67,Violeta Szekely,ROU,1965-03-26,3,Roma,1998-07-14,239.67000000000002,1998,1990,33.30047912388775
632,3:59.67,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2017-05-27,239.67000000000002,2017,2010,23.37577002053388
632,3:59.67,Linden Hall,AUS,1991-06-20,1r1,Melbourne,2021-04-01,239.67000000000002,2021,2020,29.782340862423
636,3:59.68,Helen Obiri,KEN,1989-12-13,2,Roma,2012-05-31,239.68,2012,2010,22.46406570841889
636,3:59.68,Sifan Hassan,NED,1993-01-01,2,Roma,2015-06-04,239.68,2015,2010,22.420260095824776
636,3:59.68,Gudaf Tsegay,ETH,1997-06-23,4,Bruxelles,2018-08-31,239.68,2018,2010,21.188227241615333
636,3:59.68,Elinor St. Pierre,USA,1995-02-20,6,Eugene,2022-05-28,239.68,2022,2020,27.266255989048595
636,3:59.68,Sarah Healy,IRL,2001-02-13,8s2,Budapest,2023-08-20,239.68,2023,2020,22.51334702258727
641,3:59.69,Nozomi Tanaka,JPN,1999-09-04,12,Roma,2024-08-30,239.69,2024,2020,24.98836413415469
642,3:59.7+,Doina Melinte,ROU,1956-12-27,1,Oslo,1990-07-14,239.7,1990,1990,33.544147843942504
642,3:59.70,Zhang Lirong,CHN,1973-03-03,6,Beijing,1993-09-11,239.7,1993,1990,20.525667351129364
642,3:59.70,Natalya Gorelova,RUS,1973-04-18,2,Monaco,2001-07-20,239.7,2001,2000,28.254620123203285
642,3:59.70,Sofia Ennaoui,POL,1995-08-30,2,Chorzów,2020-09-06,239.7,2020,2020,25.021218343600275
642,3:59.70,Nozomi Tanaka,JPN,1999-09-04,11s2,Saint-Denis,2024-08-08,239.7,2024,2020,24.928131416837783
642,3:59.70,Birke Haylom,ETH,2006-01-06,7,Zürich,2025-08-28,239.7,2025,2020,19.641341546885695
648,3:59.71+,Faith Kipyegon,KEN,1994-01-10,1,Oslo,2016-06-09,239.71,2016,2010,22.412046543463383
648,3:59.71,Helen Schlachtenhaufen,USA,1995-03-14,8,Eugene,2024-06-30,239.71,2024,2020,29.297741273100616
648,3:59.71,Heather MacLean,USA,1995-08-31,4,Roma,2025-06-06,239.71,2025,2020,29.765913757700204
651,3:59.72,Josette Andrews,USA,1995-12-15,1,Trabuco Hills,2021-07-18,239.72,2021,2020,25.590691307323752
651,3:59.72,Linden Hall,AUS,1991-06-20,3,Zagreb,2024-09-08,239.72,2024,2020,33.22108145106092
653,3:59.73,Linden Hall,AUS,1991-06-20,2,Eugene,2021-08-21,239.73,2021,2020,30.171115674195757
653,3:59.73,Beatrice Chepkoech,KEN,1991-07-06,4,Westwood,2024-05-18,239.73,2024,2020,32.86789869952088
653,3:59.73,Diribe Welteji,ETH,2002-05-13,1h2,Saint-Denis,2024-08-06,239.73,2024,2020,22.234086242299796
653,3:59.73,Susan Ejore-Sanders,KEN,1995-11-09,5,Roma,2025-06-06,239.73,2025,2020,29.574264202600958
653,3:59.73,Esther Guerrero,ESP,1990-02-07,6,Budapest,2025-08-12,239.73,2025,2020,35.50992470910335
658,3:59.74,Esther Guerrero,ESP,1990-02-07,12,Paris,2024-07-07,239.74,2024,2020,34.41204654346338
658,3:59.74,Elinor St. Pierre,USA,1995-02-20,3s1,Saint-Denis,2024-08-08,239.74,2024,2020,29.464750171115675
658,3:59.74,Gabija Galvydyte,LTU,2000-01-17,11,Shaoxing,2026-05-16,239.74,2026,2020,26.327173169062284
661,3:59.75,Violeta Szekely,ROU,1965-03-26,1,Bruxelles,2001-08-24,239.75,2001,2000,36.41341546885695
661,3:59.75,Melissa Courtney-Bryant,GBR,1993-08-30,9,Bruxelles,2024-09-14,239.75,2024,2020,31.041752224503764
663,3:59.76,Hind Dehiba,FRA,1979-03-17,2,Saint-Denis,2010-07-16,239.76,2010,2010,31.33196440793977
663,3:59.76,Dawit Seyaum,ETH,1996-07-27,3,Roma,2015-06-04,239.76,2015,2010,18.85284052019165
663,3:59.76,Emily MacKay,USA,1998-04-30,6,Eugene,2024-05-25,239.76,2024,2020,26.069815195071868
666,3:59.77,Natalia Marasescu,ROU,1952-10-03,2,Praha,1978-09-03,239.77,1978,1970,25.916495550992472
666,3:59.77A,Nelly Chepchirchir,KEN,2003-06-04,1,Nairobi,2023-07-08,239.77,2023,2020,20.093086926762492
668,3:59.78,Yekaterina Podkopayeva,RUS,1952-06-11,2,Nice,1994-07-18,239.78,1994,1990,42.09993155373032
669,3:59.79,Lisa Dobriskey,GBR,1983-12-23,3,Saint-Denis,2010-07-16,239.79,2010,2010,26.562628336755647
669,3:59.79,Maureen Koster,NED,1992-03-07,6,Monaco,2015-07-17,239.79,2015,2010,23.359342915811087
669,3:59.79,Abbey Caldwell,AUS,2001-07-03,9s2,Budapest,2023-08-20,239.79,2023,2020,22.130047912388775
672,3:59.8,Raisa Smekhnova,BLR,1950-09-16,2,Podolsk,1976-06-28,239.8,1976,1970,25.782340862423
672,3:59.8,Maricica Puica,ROU,1950-07-29,2,Bucuresti,1979-07-13,239.8,1979,1970,28.955509924709105
672,3:59.80,Mary Slaney,USA,1958-08-04,1,Köln,1983-08-28,239.8,1983,1980,25.065023956194388
672,3:59.80,Winnie Nanyondo,UGA,1993-08-23,7,Tokyo,2021-08-06,239.8,2021,2020,27.953456536618756
676,3:59.81,Wang Yuan,CHN,1976-04-08,7,Beijing,1993-09-11,239.81,1993,1990,17.426420260095824
677,3:59.82,Gabriella Dorio,ITA,1957-06-27,2,Roma,1980-08-05,239.82,1980,1980,23.107460643394933
677,3:59.82,Anita Weyermann,SUI,1977-12-08,2,Zürich,1999-08-11,239.82,1999,1990,21.672826830937716
679,3:59.83,Tatyana Pozdnyakova,UKR,1956-03-04,1,Moskva,1984-08-03,239.82999999999998,1984,1980,28.416153319644078
679,3:59.83,Svetlana Masterkova,RUS,1968-01-17,1,Zürich,1998-08-12,239.82999999999998,1998,1990,30.56810403832991
679,3:59.83,Genzebe Dibaba,ETH,1991-02-08,1,Barcelona,2016-07-09,239.82999999999998,2016,2010,25.415468856947296
679,3:59.83,Jennifer Simpson,USA,1986-08-23,7,Rabat,2019-06-16,239.82999999999998,2019,2010,32.813141683778234
679,3:59.83,Laura Muir,GBR,1993-05-09,4s1,Saint-Denis,2024-08-08,239.82999999999998,2024,2020,31.249828884325805
684,3:59.84,Tatyana Pozdnyakova,UKR,1956-03-04,2,Leningrad,1981-07-26,239.84,1981,1980,25.39356605065024
684,3:59.84,Ravilya Agletdinova,BLR,1960-02-10,1,Kyiv,1984-06-24,239.84,1984,1980,24.369609856262834
684,3:59.84,Mary Slaney,USA,1958-08-04,1,Paris,1985-07-13,239.84,1985,1980,26.940451745379878
684,3:59.84,Ravilya Agletdinova,BLR,1960-02-10,2,Kyiv,1986-07-17,239.84,1986,1980,26.431211498973305
684,3:59.84,Maryam Yusuf Jamal,BRN,1984-09-16,1,Lausanne,2008-09-02,239.84,2008,2000,23.96167008898015
684,3:59.84,Laura Muir,GBR,1993-05-09,4,Stockholm,2024-06-02,239.84,2024,2020,31.066392881587955
690,3:59.85,Gudaf Tsegay,ETH,1997-06-23,4,Palo Alto,2019-06-30,239.85,2019,2010,22.017796030116358
691,3:59.87,Dawit Seyaum,ETH,1996-07-27,3,Shanghai,2016-05-14,239.87,2016,2010,19.797399041752225
691,3:59.87,Ayal Dagnachew,ETH,2002-01-18,2rA,Ostrava,2022-05-31,239.87,2022,2020,20.36413415468857
693,3:59.88,Doina Melinte,ROU,1956-12-27,1,Oslo,1985-06-27,239.88,1985,1980,28.49828884325804
694,3:59.89,Carla Sacramento,POR,1971-12-10,4,Roma,1998-07-14,239.89,1998,1990,26.5927446954141
694,3:59.89,Alesya Turova,BLR,1979-12-06,3,Zürich,2002-08-16,239.89,2002,2000,22.694045174537987
694,3:59.89,Gelete Burka,ETH,1986-01-23,1,Eugene,2009-06-07,239.89,2009,2000,23.370294318959616
694,3:59.89,Revee Walcott-Nolan,GBR,1995-03-06,7,Budapest,2025-08-12,239.89,2025,2020,30.43668720054757
694,3:59.89,Birke Haylom,ETH,2006-01-06,1,Ad-Dawhah,2026-06-19,239.89,2026,2020,20.449007529089666
699,3:59.9,Ulrike Bruns,GDR,1953-11-17,1,Potsdam,1976-07-14,239.9,1976,1970,22.65571526351814
699,3:59.9,Beate Liebich,GDR,1958-02-21,1,Potsdam,1980-07-05,239.9,1980,1980,22.368240930869266
699,3:59.90,Angelika Zauber,GDR,1958-11-05,1,Jena,1981-08-09,239.9,1981,1980,22.759753593429156
699,3:59.90,Cornelia Bürki,SUI,1953-10-03,4,Roma,1987-09-05,239.9,1987,1980,33.921971252566735
699,3:59.90,Jennifer Simpson,USA,1986-08-23,2,Eugene,2009-06-07,239.9,2009,2000,22.78986995208761
699,3:59.90,Sarah Healy,IRL,2001-02-13,8,Zürich,2025-08-28,239.9,2025,2020,24.536618754277892
705,3:59.91,Sonia O'Sullivan,IRL,1969-11-28,1,Oslo,1996-07-05,239.91,1996,1990,26.600958247775495
705,3:59.91,Winnie Nanyondo,UGA,1993-08-23,7,Bruxelles,2022-09-02,239.91,2022,2020,29.026694045174537
707,3:59.92,Jennifer Simpson,USA,1986-08-23,1,Zürich,2014-08-28,239.92000000000002,2014,2010,28.01368925393566
707,3:59.92,Caster Semenya,RSA,1991-01-07,1,Ad-Dawhah,2018-05-04,239.92000000000002,2018,2010,27.32101300479124
709,3:59.93,Mary Slaney,USA,1958-08-04,1,Los Angeles,1983-06-25,239.93,1983,1980,24.889801505817932
709,3:59.93,Shannon Rowbury,USA,1984-09-19,2,Zürich,2014-08-28,239.93,2014,2010,29.93839835728953
709,3:59.93,Winny Chebet,KEN,1990-12-20,2,London,2019-07-20,239.93,2019,2010,28.580424366872005
709,3:59.93,Rababe Arafi,MAR,1991-01-12,9,Ad-Dawhah,2019-10-05,239.93,2019,2010,28.72826830937714
709,3:59.93,Saron Berhe,ETH,2007-08-22,4,Rabat,2025-05-25,239.93,2025,2020,17.75770020533881
714,3:59.94,Violeta Szekely,ROU,1965-03-26,1,Zürich,2001-08-17,239.94,2001,2000,36.394250513347025
714,3:59.94,Yelena Zadorozhnaya,RUS,1977-12-03,4,Zürich,2002-08-16,239.94,2002,2000,24.700889801505816
716,3:59.95,Zamira Zaytseva,UZB,1953-02-16,2,Cottbus,1982-06-26,239.95,1982,1980,29.35523613963039
716,3:59.95,Hayley Tullett,GBR,1973-02-17,3,Saint-Denis,2003-08-31,239.95,2003,2000,30.532511978097194
716,3:59.95,Nozomi Tanaka,JPN,1999-09-04,8,Tokyo,2021-08-06,239.95,2021,2020,21.921971252566735
716,3:59.95,Klaudia Kazimierska,POL,2001-09-03,6,Chorzów,2024-08-25,239.95,2024,2020,22.976043805612594
720,3:59.96,Zola Pieterse,GBR,1966-05-26,3,Bruxelles,1985-08-30,239.96,1985,1980,19.263518138261464
720,3:59.96,Besu Sado,ETH,1996-01-12,7,Saint-Denis,2016-08-27,239.96,2016,2010,20.62422997946612
720,3:59.96,Gudaf Tsegay,ETH,1997-06-23,3,Roma,2019-06-06,239.96,2019,2010,21.95208761122519
720,3:59.96,Salomé Afonso,POR,1997-11-19,12s2,Saint-Denis,2024-08-08,239.96,2024,2020,26.718685831622178
724,3:59.97,Svetlana Ulmasova,UZB,1953-02-04,1,Zürich,1979-08-15,239.97,1979,1970,26.524298425735797
724,3:59.97,Freweyni Hailu,ETH,2001-02-12,7,Eugene,2022-05-28,239.97,2022,2020,21.286789869952088
724,3:59.97,Susan Ejore-Sanders,KEN,1995-11-09,7,Chorzów,2024-08-25,239.97,2024,2020,28.79397672826831
727,3:59.98,Christin Wurth-Thomas,USA,1980-07-11,2,Roma,2009-07-10,239.98,2009,2000,28.996577686516083
728,3:59.99,Maryam Yusuf Jamal,BRN,1984-09-16,1,Saint-Denis,2008-07-18,239.99,2008,2000,23.835728952772072
728,3:59.99,Emily MacKay,USA,1998-04-30,1,Marseille,2023-07-17,239.99,2023,2020,25.21286789869952
728,3:59.99,Klaudia Kazimierska,POL,2001-09-03,1,Bydgoszcz,2026-05-29,239.99,2026,2020,24.733744010951405
731,4:00.00,Hassiba Boulmerka,ALG,1968-07-10,2,Zürich,1991-08-07,240.0,1991,1990,23.07460643394935
731,4:00.00,Marta Zenoni,ITA,1999-03-09,8,Bruxelles,2025-08-22,240.0,2025,2020,26.455852156057496
731,4:00.00,Linden Hall,AUS,1991-06-20,8,Paris,2026-06-28,240.0,2026,2020,35.02258726899384
734,4:00.01+,Jennifer Simpson,USA,1986-08-23,4,London,2018-07-22,240.01,2018,2010,31.912388774811774
735,4:00.02,Karissa Schweizer,USA,1996-05-04,1,Portland,2020-07-21,240.02,2020,2020,24.213552361396303
736,4:00.04,Mary Slaney,USA,1958-08-04,1,Budapest,1980-08-11,240.04,1980,1980,22.02053388090349
736,4:00.04,Iryna Lishchynska,UKR,1976-01-15,3,Athínai,2006-07-03,240.04,2006,2000,30.46406570841889
736,4:00.04,Katie Snowden,GBR,1994-03-09,2,Westwood,2023-05-27,240.04,2023,2020,29.215605749486652
739,4:00.05,Lu Yi,CHN,1974-04-10,8,Beijing,1993-09-11,240.05,1993,1990,19.422313483915126
740,4:00.06,Hildegard Körner,GDR,1959-12-20,1,Potsdam,1987-08-22,240.06,1987,1980,27.67145790554415
740,4:00.06,Sonia O'Sullivan,IRL,1969-11-28,1,Oslo,1994-07-22,240.06,1994,1990,24.646132785763175
740,4:00.06,Morgan Uceny,USA,1985-03-10,1,Bruxelles,2011-09-16,240.06,2011,2010,26.518822724161534
740,4:00.06,Hirut Meshesha,ETH,2001-01-20,8,Budapest,2025-08-12,240.06,2025,2020,24.55852156057495
744,4:00.07,Andrea Hahmann,GER,1966-06-03,2,Potsdam,1987-08-22,240.07,1987,1980,21.218343600273784
744,4:00.07,Yekaterina Rozenberg,RUS,1980-01-23,2,Zürich,2003-08-15,240.07,2003,2000,23.55920602327173
744,4:00.07,Laura Muir,GBR,1993-05-09,6,Saint-Denis,2014-07-05,240.07,2014,2010,21.155373032169745
744,4:00.07,Josette Andrews,USA,1995-12-15,3,Eugene,2021-08-21,240.07,2021,2020,25.683778234086244
748,4:00.08,Carla Sacramento,POR,1971-12-10,2,Bruxelles,1998-08-28,240.08,1998,1990,26.715947980835043
748,4:00.08,Mimi Belete,BRN,1988-06-09,7,Saint-Denis,2014-07-05,240.08,2014,2010,26.069815195071868
748,4:00.08,Besu Sado,ETH,1996-01-12,4,Shanghai,2016-05-14,240.08,2016,2010,20.33675564681725
748,4:00.08,Emily MacKay,USA,1998-04-30,5,Westwood,2024-05-18,240.08,2024,2020,26.050650239561943
752,4:00.09,Yuliya Chizhenko,RUS,1979-08-30,2,Kazan,2005-06-25,240.09,2005,2000,25.82067077344285
752,4:00.09,Yevgeniya Soboleva,RUS,1988-01-26,1,Cheboksary,2012-07-06,240.09,2012,2010,24.4435318275154
752,4:00.09,Winnie Nanyondo,UGA,1993-08-23,5,Palo Alto,2019-06-30,240.09,2019,2010,25.8507871321013
752,4:00.09,Laura Weightman,GBR,1991-01-07,2,Berlin,2020-09-13,240.09,2020,2020,29.683778234086244
756,4:00.10,Josette Andrews,USA,1995-12-15,1rA,Eagle Rock,2025-07-12,240.1,2025,2020,29.574264202600958
757,4:00.11,Yekaterina Guliyeva,RUS,1991-03-01,1,Zhukovskiy,2012-06-17,240.11,2012,2010,21.297741273100616
757,4:00.11+,Gudaf Tsegay,ETH,1997-06-23,2,Monaco,2019-07-12,240.11,2019,2010,22.050650239561943
759,4:00.12,Fita Lovin,ROU,1951-01-14,1,Bucuresti,1983-06-04,240.12,1983,1980,32.38603696098563
759,4:00.12,Yelena Zadorozhnaya,RUS,1977-12-03,2,Bruxelles,2003-09-05,240.12,2003,2000,25.754962354551676
759,4:00.12,Marta Pérez,ESP,1993-04-19,9,Tokyo,2021-08-06,240.12,2021,2020,28.298425735797398
759,4:00.12,Klaudia Kazimierska,POL,2001-09-03,10,Saint-Denis,2024-08-10,240.12,2024,2020,22.934976043805612
763,4:00.13,Nancy Jebet Langat,KEN,1981-08-22,3,Lausanne,2010-07-08,240.13,2010,2010,28.876112251882272
763,4:00.13,Abeba Aregawi,SWE,1990-07-05,1,New York City,2014-06-14,240.13,2014,2010,23.942505133470227
763,4:00.13,Esther Guerrero,ESP,1990-02-07,10s2,Budapest,2023-08-20,240.13,2023,2020,33.530458590006845
766,4:00.14,Paula Ivan,ROU,1963-07-20,1,Nice,1988-07-10,240.14,1988,1980,24.974674880219027
766,4:00.14,Likina Amebaw,ETH,1997-11-30,9,Budapest,2025-08-12,240.14,2025,2020,27.698836413415467
768,4:00.15,Totka Petrova,BUL,1956-12-17,3,Praha,1978-09-03,240.15,1978,1970,21.711156741957563
768,4:00.15,Anna Jakubczak,POL,1973-02-02,7,Athínai,2004-08-28,240.15,2004,2000,31.567419575633128
768,4:00.15,Ciara Mageean,IRL,1992-03-12,10,Ad-Dawhah,2019-10-05,240.15,2019,2010,27.564681724845997
771,4:00.16,Georgia Griffith,AUS,1996-12-05,4,Rabat,2022-06-05,240.16,2022,2020,25.49760438056126
772,4:00.17,Laura Weightman,GBR,1991-01-07,8,Saint-Denis,2014-07-05,240.17,2014,2010,23.49075975359343
772,4:00.17,Axumawit Embaye,ETH,1994-10-18,2,Nanjing,2019-05-21,240.17,2019,2010,24.588637919233403
772,4:00.17,Hirut Meshesha,ETH,2001-01-20,6,Westwood,2024-05-18,240.17,2024,2020,23.32375085557837
775,4:00.18,Valentina Ilyinykh,RUS,1956-12-12,4,Praha,1978-09-03,240.18,1978,1970,21.724845995893222
775,4:00.18,Irina Lebedinskaya,RUS,1961-06-16,5,Podolsk,1982-08-22,240.18,1982,1980,21.182751540041068
775,4:00.18,Ruth Wysocki,USA,1957-03-08,1,Los Angeles,1984-06-24,240.18,1984,1980,27.29637234770705
775,4:00.18,Gudaf Tsegay,ETH,1997-06-23,3,Eugene,2016-05-28,240.18,2016,2010,18.92950034223135
775,4:00.18,Winny Chebet,KEN,1990-12-20,3,Bruxelles,2017-09-01,240.18,2017,2010,26.699520876112253
775,4:00.18,Nelly Chepchirchir,KEN,2003-06-04,1,Székesfehérvár,2023-07-18,240.18,2023,2020,20.12046543463381
775,4:00.18,Susan Ejore-Sanders,KEN,1995-11-09,9,Bruxelles,2025-08-22,240.18,2025,2020,29.78507871321013
782,4:00.19,Galina Zakharova,RUS,1956-09-07,2,Moskva,1984-08-03,240.19,1984,1980,27.904175222450377
782,4:00.19,Worknesh Mesele,ETH,2001-06-10,10,Bruxelles,2024-09-14,240.19,2024,2020,23.263518138261464
784,4:00.20,Ulrike Bruns,GDR,1953-11-17,3,Potsdam,1987-08-22,240.2,1987,1980,33.76043805612594
784,4:00.20,Liu Li,CHN,1971-03-12,5,Barcelona,1992-08-08,240.2,1992,1990,21.409993155373034
784,4:00.20,Nuria Fernández,ESP,1976-08-16,1,Barcelona,2010-08-01,240.2,2010,2010,33.95756331279945
784,4:00.20,Heather MacLean,USA,1995-08-31,11,Eugene,2025-07-05,240.2,2025,2020,29.845311430527037
788,4:00.21,Klaudia Kazimierska,POL,2001-09-03,5s1,Saint-Denis,2024-08-08,240.21,2024,2020,22.92950034223135
789,4:00.22A,Susan Ejore-Sanders,KEN,1995-11-09,3,Nairobi,2024-06-15,240.22,2024,2020,28.59958932238193
790,4:00.23,Nancy Jebet Langat,KEN,1981-08-22,1,Beijing,2008-08-23,240.23,2008,2000,27.003422313483917
790,4:00.23,Abeba Aregawi,SWE,1990-07-05,1,Roma,2013-06-06,240.23,2013,2010,22.921286789869953
790,4:00.23,Sifan Hassan,NED,1993-01-01,1s2,Tokyo,2021-08-04,240.23,2021,2020,28.588637919233403
790,4:00.23,Sophie O'Sullivan,IRL,2001-12-23,7h1,Saint-Denis,2024-08-06,240.23,2024,2020,22.62012320328542
794,4:00.24,Paula Ivan,ROU,1963-07-20,1,Berlin,1988-08-26,240.24,1988,1980,25.10335386721424
794,4:00.24,Laimute Baikauskaite,LTU,1956-06-10,2,Seoul,1988-10-01,240.24,1988,1980,32.309377138945926
794,4:00.24,Katie Snowden,GBR,1994-03-09,7,Eugene,2024-05-25,240.24,2024,2020,30.21218343600274
797,4:00.25,Galina Zakharova,RUS,1956-09-07,6,Podolsk,1982-08-22,240.25,1982,1980,25.95482546201232
797,4:00.25,Mimi Belete,BRN,1988-06-09,2,Rieti,2010-08-29,240.25,2010,2010,22.220396988364133
797,4:00.25,Winnie Nanyondo,UGA,1993-08-23,8,Eugene,2022-05-28,240.25,2022,2020,28.761122518822724
800,4:00.26,Alla Yushina,RUS,1958-08-20,3,Leningrad,1981-07-26,240.26,1981,1980,22.93223819301848
800,4:00.26,Paula Ivan,ROU,1963-07-20,1,Zürich,1989-08-16,240.26,1989,1980,26.075290896646134
800,4:00.26,Gabriela DeBues-Stafford,CAN,1995-09-13,3,London,2019-07-20,240.26,2019,2010,23.849418206707735
803,4:00.27,Lynn Williams,CAN,1960-07-11,4,Bruxelles,1985-08-30,240.27,1985,1980,25.136208076659823
804,4:00.28,Tatyana Tomashova,RUS,1975-07-01,2,Monaco,2005-09-09,240.28,2005,2000,30.193018480492814
804,4:00.28,Rababe Arafi,MAR,1991-01-12,3,Stockholm,2018-06-10,240.28,2018,2010,27.408624229979466
806,4:00.29,Freweyni Hailu,ETH,2001-02-12,3,Ad-Dawhah,2023-05-05,240.29,2023,2020,22.223134839151268
806,4:00.29,Georgia Hunter Bell,GBR,1993-10-17,2h2,Saint-Denis,2024-08-06,240.29,2024,2020,30.803559206023273
806,4:00.29,Gracie Morris,USA,2001-12-17,12,Shaoxing,2026-05-16,240.29,2026,2020,24.410677618069816
809,4:00.3,Lyudmila Shesterova,UKR,1956-10-12,7,Moskva,1980-07-06,240.3,1980,1980,23.731690622861056
809,4:00.3,Yekaterina Podkopayeva,RUS,1952-06-11,1,Krasnodar,1983-05-30,240.3,1983,1980,30.965092402464066
809,4:00.30,Tatyana Kazankina,RUS,1951-12-17,1,College Park,1976-08-06,240.3,1976,1970,24.637919233401778
809,4:00.30,Gabriella Dorio,ITA,1957-06-27,4,Moskva,1980-08-01,240.3,1980,1980,23.096509240246405
809,4:00.30,Tatyana Dorovskikh,UKR,1961-08-12,3,Seoul,1988-10-01,240.3,1988,1980,27.137577002053387
